Код ресурса,Наименование,Ед.изм.
27.12.31.000.89.1.62.01-0657-000,"Шкаф управления, тип ШУ, ШУДД, наружной установки, номинальный ток 63 А",шт
27.12.31.000.89.1.62.01-0658-000,"Шкаф управления, тип ШУ, ШУДД, наружной установки, номинальный ток 80 А",шт
27.90.70.000.59.1.20.04-0187-000,"Шкаф управляющего вычислительного комплекса для двух единых сетевых систем, размер 2200х600х600 мм",шт
27.90.70.000.59.1.20.04-0186-000,"Шкаф управляющего вычислительного комплекса для одной единой сетевой системы, размер 2200х600х600 мм",шт
16.23.19.000.59.1.11.02-0362-000,"Шкаф хозяйственный, материал ДСП бук-бавария, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0363-000,"Шкаф хозяйственный, материал ДСП, размер 826x370x1807 мм",шт
31.01.11.129.18.5.08.16-0003-000,Шкаф электромонтажный для ВКТ-7 в сборе,шт
27.12.31.000.59.1.20.02-0076-000,"Шкаф электроснабжения для охранной сигнализации, напряжение 380/220 В, в комплекте с шинами, выключатель распределения-5 шт, 2-мя розетками",шт
16.23.19.000.59.1.11.02-0364-000,"Шкаф-секция без дверей, материал ЛДСП, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0365-000,"Шкаф-секция без стекла, материал ЛДСП, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0366-000,"Шкаф-секция с антресолью, материал ЛДСП, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0367-000,"Шкаф-секция с глухими дверьми, открытая полка, материал ЛДСП, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0368-000,"Шкаф-секция с дверьми, материал ЛДСП, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0369-000,"Шкаф-секция со стеклами без рамки, материал ЛДСП, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0370-000,"Шкаф-секция со стеклами, материал ЛДСП, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0372-000,"Шкаф-секция, 2 двери глухие, 2 двери стекло, материал ЛДСП, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0371-000,"Шкаф-секция, 2 двери глухие, 2 двери стекло, открытая полка, материал ЛДСП, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0373-000,"Шкаф-секция, 4 глухие двери, 4 выдвижных ящика, материал ЛДСП, размер 826x370x1807 мм",шт
16.23.19.000.59.1.11.02-0360-000,"Шкаф-секция, материал ДСП, размер 370x370x1807 мм",шт
16.23.19.000.59.1.11.02-0374-000,"Шкаф-секция, откидная створка, 2 открытые полки, материал ЛДСП, размер 826x370x1807 мм",шт
27.12.31.000.89.1.62.01-0709-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 10 А",шт
27.12.31.000.89.1.62.01-0710-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 100 А",шт
27.12.31.000.89.1.62.01-0711-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 125 А",шт
27.12.31.000.89.1.62.01-0712-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 200 А",шт
27.12.31.000.89.1.62.01-0713-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 250 А",шт
27.12.31.000.89.1.62.01-0714-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 320 А",шт
27.12.31.000.89.1.62.01-0715-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 40 А",шт
27.12.31.000.89.1.62.01-0716-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 50 А",шт
27.12.31.000.89.1.62.01-0717-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 63 А",шт
27.12.31.000.89.1.62.01-0718-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 630 А",шт
27.12.31.000.89.1.62.01-0719-000,"Шкафы автоматического ввода резерва, 2 ввода, номинальный ток 80 А",шт
16.23.19.000.59.1.11.02-0375-000,"Шкафы для посуды, материал ДСП ламинированная, 4 полки, 4 выдвижныxящика, размеры 826x604x1807 мм",шт
31.01.11.129.59.1.18.05-0594-000,"Шкафы коллекторные (распределительные), встраиваемые, стальные 670x125x744 мм",шт
25.11.23.119.18.4.01.04-0011-000,Шкафы металлические для баллонов,кг
25.11.23.119.18.4.01.04-0012-000,Шкафы металлические для регулятора давления,кг
27.12.31.000.89.1.62.01-0594-000,"Шкафы низковольтные вторичной коммутации НКУ типа ШЗВ, ШПВ, ШОВ, внутренней установки, номинальный ток 100 А",шт
27.12.31.000.89.1.62.01-0595-000,"Шкафы низковольтные вторичной коммутации НКУ типа ШЗВ, ШПВ, ШОВ, внутренней установки, номинальный ток 160 А",шт
27.12.31.000.89.1.62.01-0596-000,"Шкафы низковольтные вторичной коммутации НКУ типа ШЗВ, ШПВ, ШОВ, внутренней установки, номинальный ток 40 А",шт
27.12.31.000.89.1.62.01-0597-000,"Шкафы низковольтные вторичной коммутации НКУ типа ШЗВ, ШПВ, ШОВ, наружной установки, номинальный ток 10 А",шт
27.12.31.000.89.1.62.01-0598-000,"Шкафы низковольтные вторичной коммутации НКУ типа ШЗВ, ШПВ, ШОВ, наружной установки, номинальный ток 250 А",шт
31.01.11.129.59.1.18.03-0041-000,"Шкафы пожарные из стального листа, толщина 0,8 мм, с покрытием эмалью ПФ-115, для хранения двух огнетушителей, размеры 800x1100x270 мм",шт
31.01.11.129.59.1.18.03-0042-000,"Шкафы пожарные из стального листа, толщина 0,8 мм, с покрытием эмалью ПФ-115, для хранения одного огнетушителя, размеры 300x700x300 мм",шт
25.99.21.130.59.1.08.01-0820-000,"Шкафы почтовые абонентские, вертикальные, 6-ти секционные укомплектованные ключами, замками и шурупами, размер 680x385x190 мм, вес 6,4 кг",шт
25.99.21.130.59.1.08.01-0821-000,"Шкафы почтовые абонентские, вертикальные, 7-ти секционные укомплектованные ключами, замками и шурупами, размер 830x380x130 мм, вес 9 кг антивандальные",шт
26.30.30.190.59.1.20.04-0163-000,"Шкафы распределительные настенные типа ШРН-2/1200 телефонные, размер 1000x270x1100 мм",шт
26.30.30.190.59.1.20.04-0164-000,"Шкафы распределительные настенные типа ШРН-2/300 телефонные, размер 500x105x500 мм",шт
26.30.30.190.59.1.20.04-0165-000,"Шкафы распределительные настенные типа ШРН-2/800 телефонные, размер 1000x270x850 мм",шт
26.30.30.190.59.1.20.04-0166-000,"Шкафы распределительные пристенные типа ШРП-2/1200 телефонные пылеводозащищенные, размер 780x250x1100 мм",шт
26.30.30.190.59.1.20.04-0167-000,"Шкафы распределительные пристенные типа ШРП-2/600 телефонные пылеводозащищенные, размер 780x250x850 мм",шт
26.30.30.190.89.1.61.03-0053-000,"Шкафы сетевые металлические, с боковыми стенками и обзорной дверью, 600x1200x800 мм",шт
27.12.31.000.89.1.62.01-0600-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 100 А, количество отходящих линий 12",шт
27.12.31.000.89.1.62.01-0601-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 100 А, количество отходящих линий 5",шт
27.12.31.000.89.1.62.01-0602-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 100 А, количество отходящих линий 8",шт
27.12.31.000.89.1.62.01-0603-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 250 А, количество отходящих линий 12",шт
27.12.31.000.89.1.62.01-0604-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 250 А, количество отходящих линий 5",шт
27.12.31.000.89.1.62.01-0605-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 250 А, количество отходящих линий 8",шт
27.12.31.000.89.1.62.01-0606-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 400 А, количество отходящих линий 12",шт
27.12.31.000.89.1.62.01-0607-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 400 А, количество отходящих линий 5",шт
27.12.31.000.89.1.62.01-0608-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 400 А, количество отходящих линий 8",шт
27.12.31.000.89.1.62.01-0609-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 630 А, количество отходящих линий 12",шт
27.12.31.000.89.1.62.01-0610-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 630 А, количество отходящих линий 5",шт
27.12.31.000.89.1.62.01-0611-000,"Шкафы силовые распределительные, внутренней установки, номинальный ток 630 А, количество отходящих линий 8",шт
27.12.31.000.89.1.62.01-0612-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 100 А, количество отходящих линий 12",шт
27.12.31.000.89.1.62.01-0613-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 100 А, количество отходящих линий 5",шт
27.12.31.000.89.1.62.01-0614-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 100 А, количество отходящих линий 8",шт
27.12.31.000.89.1.62.01-0615-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 250 А, количество отходящих линий 12",шт
27.12.31.000.89.1.62.01-0616-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 250 А, количество отходящих линий 5",шт
27.12.31.000.89.1.62.01-0617-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 250 А, количество отходящих линий 8",шт
27.12.31.000.89.1.62.01-0618-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 400 А, количество отходящих линий 12",шт
27.12.31.000.89.1.62.01-0619-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 400 А, количество отходящих линий 5",шт
27.12.31.000.89.1.62.01-0620-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 400 А, количество отходящих линий 8",шт
27.12.31.000.89.1.62.01-0621-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 630 А, количество отходящих линий 12",шт
27.12.31.000.89.1.62.01-0622-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 630 А, количество отходящих линий 5",шт
27.12.31.000.89.1.62.01-0623-000,"Шкафы силовые распределительные, наружной установки, номинальный ток 630 А, количество отходящих линий 8",шт
27.12.31.000.89.1.62.01-0678-000,"Шкафы учета электрической энергии, тип ШУЭ, внутренней установки, номинальный ток 10 А",шт
27.12.31.000.89.1.62.01-0679-000,"Шкафы учета электрической энергии, тип ШУЭ, внутренней установки, номинальный ток 100 А",шт
27.12.31.000.89.1.62.01-0680-000,"Шкафы учета электрической энергии, тип ШУЭ, внутренней установки, номинальный ток 160 А",шт
27.12.31.000.89.1.62.01-0681-000,"Шкафы учета электрической энергии, тип ШУЭ, наружной установки, номинальный ток 160 А",шт
27.12.31.000.89.1.62.01-0682-000,"Шкафы учета электрической энергии, тип ШУЭ, наружной установки, номинальный ток 50 А",шт
27.12.31.000.89.1.62.01-0677-000,"Шкафы учета электроэнергии, для внутренней установки в жилых и общественных зданиях, напряжение 380/220 В, частота 50 Гц, степень защиты IP31, размер 700x600x200 мм",шт
27.12.31.000.89.1.62.01-0624-000,"Шкафы этажные распределительные, тип ШЛСС-2М, на 2 квартиры",шт
23.91.12.110.01.7.17.11-0011-000,Шкурка шлифовальная двухслойная с зернистостью 40-25,м2
23.91.12.110.01.7.17.11-0013-000,Шкурка шлифовальная на тканевой основе водостойкая,м2
27.90.70.000.62.7.01.04-0013-000,"Шлагбаум автоматический дорожный тумбовый с электроприводом и редуктором, стрела круглая со светоотражающими наклейками и противовесом, длина стрелы до 12000 мм",компл
27.90.70.000.62.7.01.04-0011-000,"Шлагбаум автоматический дорожный тумбовый с электроприводом и редуктором, стрела прямоугольная со светоотражающими наклейками, длина стрелы до 4200 мм",компл
27.90.70.000.62.7.01.04-0012-000,"Шлагбаум автоматический дорожный тумбовый с электроприводом и редуктором, стрела прямоугольная со светоотражающими наклейками, длина стрелы до 8000 мм",компл
08.12.13.000.02.4.02.02-0001-000,Шлак гранулированный,т
08.12.13.000.02.4.02.02-0002-000,Шлак доменный,м3
08.12.13.000.02.4.02.02-0002-002,"Шлак доменный, фракция 20-40 мм",м3
08.12.13.000.02.4.02.02-0002-001,"Шлак доменный, фракция 5-20 мм",м3
23.51.12.113.03.2.01.05-0001-000,"Шлакопортландцемент общестроительного и специального назначения М300 ШПЦ (ЦЕМ III 22,5)",т
23.51.12.113.03.2.01.05-0003-000,"Шлакопортландцемент общестроительного и специального назначения М400 ШПЦ (ЦЕМ III 32,5)",т
23.51.12.113.03.2.01.05-0006-000,"Шлакопортландцемент общестроительного и специального назначения М500 ШПЦ (ЦЕМ III 42,5)",т
23.51.12.113.59.1.03.02-0015-000,"Шлакопортландцемент сульфатостойкий М400 ССШПЦ (ЦЕМ III 32,5)",т
23.51.12.113.59.1.03.02-0016-000,"Шлакопортландцемент сульфатостойкий М500 ССШПЦ (ЦЕМ III 42,5)",т
22.19.73.119.01.7.19.01-0031-000,"Шланг бетоновода, диаметр 125 мм",м
22.29.29.190.59.1.18.02-0061-000,"Шланг всасывающий для щетки длиной 1500 мм, внутренним диаметр 38 мм",шт
22.19.30.120.59.1.20.02-0062-000,"Шланг для соединения электропривода с муфтой или трансформаторным ящиком, длина шланга с фланцами и прокладками 550 мм",шт
22.19.30.120.59.1.01.07-1857-000,Шланг инъекционный для гидроизоляции рабочих швов в монолитных железобетонных конструкциях,м
22.21.29.120.24.3.03.01-0231-000,"Шланг полиэтиленовый магистральный для дождевой системы автополива, диаметр 13 мм",м
22.21.29.120.24.3.03.01-0232-000,"Шланг полиэтиленовый магистральный для дождевой системы автополива, диаметр 19 мм",м
22.21.29.120.24.3.03.01-0233-000,"Шланг полиэтиленовый магистральный для дождевой системы автополива, диаметр 25 мм",м
22.21.29.120.24.3.03.01-0234-000,"Шланг полиэтиленовый магистральный для дождевой системы автополива, диаметр 32 мм",м
22.21.29.120.24.3.03.01-0230-000,"Шланг полиэтиленовый подающий для дождевой системы автополива, диаметр 4,6 мм",м
22.21.29.120.59.1.01.07-1767-000,"Шланг смешивающий статический для установки по напылению трубы, длина 680 мм",шт
22.21.29.120.16.1.01.03-1000-000,"Шланг спиральный напорно-всасывающий, диаметр 1 1/2"" (38 мм)",м
22.21.29.120.16.1.01.03-1002-000,"Шланг спиральный напорно-всасывающий, диаметр 1 1/4"" (32 мм)",м
22.21.29.120.16.1.01.03-1004-000,"Шланг спиральный напорно-всасывающий, диаметр 1"" (25 мм)",м
22.21.29.120.16.1.01.03-1008-000,"Шланг спиральный напорно-всасывающий, диаметр 2"" (50 мм)",м
22.21.29.120.59.1.16.01-0006-000,"Шланг спиральный напорно-всасывающий, диаметр 2""1/2 (63 мм)",м
22.21.29.120.59.1.16.01-0007-000,"Шланг спиральный напорно-всасывающий, диаметр 3"" (75 мм)",м
