name,КСР код,КСР наименование,ref_unit
DIN -рейка оцинкованная ТН35-7.5 100 см (Chint),27.33.13.130.20.2.08.01-0001-000,"DIN-рейки металлические, оцинкованные, размеры 7,5х35х260 мм",100 шт
"DIN-рейка 35х7,5 мм длиной 1000 мм",27.33.13.130.20.2.08.01-0001-000,"DIN-рейки металлические, оцинкованные, размеры 7,5х35х260 мм",100 шт
Анкерный элемент ТехноНиколь 8*45мм,25.94.11.190.01.7.15.01-1169-000,"Анкер грунтовый забивной самораскрывающийся, оцинкованный, предельная несущая нагрузка не менее 45 кН",шт
Анкерный элемент TN 8x4.5,25.94.11.190.01.7.15.01-1169-000,"Анкер грунтовый забивной самораскрывающийся, оцинкованный, предельная несущая нагрузка не менее 45 кН",шт
Анкер забивной М10 DRM 12x40 сталь,25.94.11.190.01.7.15.01-0037-000,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм",шт
Анкер втулочный M10,25.94.11.190.01.7.15.01-0037-000,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм",шт
Анкер забивной М10/12x40,25.94.11.190.01.7.15.01-0037-000,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм",шт
Анкер втулочный M10,25.94.11.190.01.7.15.01-0037-000,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм",шт
Анкер забивной М8 LAZ латунь,25.94.11.190.01.7.15.01-0036-000,"Анкер забивной латунный, диаметр внутренней резьбы М8, диаметр 10 мм, длина 28-30 мм",шт
Анкер втулочный M8,25.94.11.190.01.7.15.01-0036-000,"Анкер забивной латунный, диаметр внутренней резьбы М8, диаметр 10 мм, длина 28-30 мм",шт
Анкер забивной М10,25.94.11.01.7.15.01-0037,Анкер забивной М10,шт.
Анкер втулочный M10,25.94.11.01.7.15.01-0037,Анкер забивной М10,шт.
Анкер забивной М8,25.94.11.01.7.15.01-0036,Анкер забивной М8,шт.
Анкер втулочный M8,25.94.11.01.7.15.01-0036,Анкер забивной М8,шт.
"Анкерный стержень 15,0мм без покрытия 1,00м",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
"Винт стяжной L=1,0 метр",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
"Анкерный стержень 15,0мм без покрытия, неоцинкованный 2,00м",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
"Винт стяжной L=2,0 метр",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
"Анкерный стержень 15,0мм без покрытия, неоцинкованный 3,00м",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
"Анкерный стержень 15,0мм без покрытия, неоцинкованный 3,00м ООО """"Регион-Монтаж""""",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
Шпилька М8х1000 (DIN975) оцинкованная (поштучно),25.94.11.190.01.7.15.01-0043-000,"Анкер трубчатый стальной оцинкованный для слабых грунтов с винтовым наконечником, диаметр 76 мм, толщина стенки 3,5-5 мм, длина 1000 мм",шт
Шпилька М8,25.94.11.190.01.7.15.01-0043-000,"Анкер трубчатый стальной оцинкованный для слабых грунтов с винтовым наконечником, диаметр 76 мм, толщина стенки 3,5-5 мм, длина 1000 мм",шт
Химический Анкер на основе полиэстра 300 мл Akfix C900 (12шт в упк),20.52.10.190.14.1.06.06-1023-000,Анкер химический двухкомпонентный на основе винилэстеровой смолы,л
Анкер химический 300мл EASF300,20.52.10.190.14.1.06.06-1023-000,Анкер химический двухкомпонентный на основе винилэстеровой смолы,л
Анкер-шпилька HST3 M16x145 45/25,25.94.11.190.01.7.15.01-1470-000,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М12, длина 145 мм",10 шт
Анкер-шпилька HILTI HST M16x140/25,25.94.11.190.01.7.15.01-1470-000,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М12, длина 145 мм",10 шт
Анкер-шпилька HILTI HSA M8*85 35/25,25.94.11.190.01.7.15.01-1464-000,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М8, длина 85 мм",10 шт
Распорный анкер HSA M8x85,25.94.11.190.01.7.15.01-1464-000,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М8, длина 85 мм",10 шт
2105859 Анкер-шпилька HST3 М16х145 45/25,25.94.11.190.01.7.15.01-1526-000,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм",10 шт
Анкер-шпилька HILTI HST M16x140/25,25.94.11.190.01.7.15.01-1526-000,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм",10 шт
